18 GHz ,17.7 GHz - 19.7 GHz,"Yes. National legacy band for Telkom. Although difficult, spectrum is available on a radio co-ordinated basis, all  depending on the area or location of a link, the network layout and other technical parameters",Telkom (national),,17x 55 MHz FDD or 34x 27.5 MHz FDD or 131x 7.5 MHz FDD,Links,High capacity backhaul links
,,,Vodacom (ad hoc),,4x 27.5 MHz FDD,Links,High capacity backhaul links
,,,Nelson Mandela Metro (ad hoc),,1x 27.5 MHz FDD,Links,High capacity backhaul links
,,,Joburg Metro (ad hoc),,1x 27.5 MHz FDD,Links,High capacity backhaul links
,,,Ekurhuleni Metro (ad hoc),,1x 27.5 MHz FDD,Links,High capacity backhaul links
,,,Boksburg City Council (ad hoc),,1x 7.5 MHz FDD,Links,High capacity backhaul links
,,,Orbicom (ad hoc),,2x 33 MHz ,Sat feeder link,Uplink
,,,MTN (ad hoc),,1x 27.5 MHz FDD,Links,High capacity backhaul links
,,,Anglo Operations Limited (ad hoc),,2x 27.5 MHz FDD,Links,High capacity backhaul links
,,,De Beers (ad hoc),,2x 55 MHz FDD,Links,High capacity backhaul links
Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned,Application,Comment
23 GHz,21.2 - 23.6 GHz,"Yes. Some spectrum is legacy exclusive, but spectrum is available on a radio co-ordinated basis, all  depending on the area or location of a link, the network layout and other technical parameters",Transtel (national),,Subband 1a &1b,Links PtP,Medium & High capacity backhaul links
,,,Telkom (national),,"Subband 2, 3, 7, & 9",Links PtP,Medium & High capacity backhaul links (subdivided in 10x subbands)
,,,ATNS (ad hoc),,1x 3.5 MHz FDD,Links PtP,"Low, capacity backhaul links"
,,,Eskom (national & ad hoc),,Subband 4 & 8,Links PtP,"low, Medium & High capacity backhaul links"
,,,Telewave (ad hoc),,1x 28 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,Vaalreefs (ad hoc),,1x 3.5 MHz FDD & 1x 7 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,Iscor (ad hoc),,1x 7 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,Richardsbay Minerals (ad hoc),,6x 7 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,Boksburg City Council (ad hoc),,1x 7 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,MWeb (ad hoc),,2x 14 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,Rand Water (ad hoc),,1x 7 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,BMW of SA (ad hoc),,1x 14 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,Pretoria City Council (ad hoc),,2x 14 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,SAPS (ad hoc),,2x 14 MHz FDD & 1x 28 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,SASOL (ad hoc),,2x 7 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,City of Cape Town (ad hoc),,1x 7 MHz FDD & 1x 14 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,Amatole Telecomms (ad hoc),,3x 28 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,Highveld Racing (ad hoc),,1x 28 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,SANDF (ad hoc),,2x 14 MHz FDD or 9x 7 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,MTN (ad hoc),,1x 28 MHz FDD,Links PtP,Medium & High capacity backhaul links
,,,Teleservice (ad hoc),,1x 28 MHz FDD,Links Ptp,Medium & High capacity backhaul links
Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned,Application,Comment
26 GHz,24.549 - 26.453 GHz,"Yes. Spectrum is available on a radio co-ordinated basis, all  depending on the area or location of a link, the network layout and other technical parameters",Telkom (national),,6x 28 MHz FDD,Links PtP & PtMP,Short distance High capacity
,,,Transtel (ad hoc),,1x 28 MHz FDD,Links PtP & PtMP,Short distance High capacity
,,,Internet Solutions (ad hoc),,1x 28 MHz FDD,Links PtP & PtMP,Short distance High capacity
,,,WBS (national),,1x 28 MHz FDD,Links PtP & PtMP,pending approval
,,,MWeb (ad hoc),,1x 28 MHz FDD,Links PtP & PtMP,Short distance High capacity
,,,MTN (national),,2x 28 MHz FDD,Links PtP & PtMP,Short distance High capacity
,,,Vodacom (national & ad hoc)),,3x 28 MHz FDD,Links PtP & PtMP,Short distance High capacity
,,,Tshwane University of Technology (ad hoc),,2x 28 MHz FDD,Links PtP,Short distance High capacity
,,,Neotel (national),,1x 28 MHz FDD,Links PtP & PtMP,Short distance High capacity
,,,Screamer (ad hoc),,1x 28 MHz FDD,Links PtP & PtMP,Short distance High capacity
,,,Sentech (national),,2x 28 MHz FDD,Links PtP & PtMP,Short distance High capacity
Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned,Application,Comment
28 GHz,27.0 - 29.5 GHz,Yes. Spectrum is available. No assignments yet,none,,none,LMDS links,no applications received
Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned,Application,Comment
31 GHz,31.0 - 31.8 GHz,Yes. Spectrum is available. No assignments yet,none,,none,LPVS & HAPS,no applications received
Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned,Application,Comment
38 GHz,37.0 - 39.5 GHz,"Yes. Spectrum is available on a radio co-ordinated basis, all  depending on the area or location of a link, the network layout and other technical parameters",Telkom (national),,2x 56 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Internet Solutions (ad hoc),,1x 56 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Mweb (ad hoc),,1x 56 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Sentech (ad hoc),,1x 28 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Eskom (ad hoc),,1x 56 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Mweb (ad hoc),,2x 14 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Transtel (ad hoc),,1x 28 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Vodacom (national),,1x 56 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,MTN (national),,1x 56 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Cell - C (national)_,,1x 56 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Rosewell Trading (ad hoc),,1x 14 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Screamer (ad hoc),,1x 56 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Tshwane University of Technology (ad hoc),,1x 28 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
,,,Neotel (national),,1x 56 MHz FDD,PtP links,"subdivisible into 28 MHz, 14 MHz 7 MHz & 3.5 MHz"
Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned,Application,Comment
60 GHz,57 - 64 GHz,"Yes, whole band available for assignment",Comsol test licence application (Comsol has now withdrawn application due to slow response on regulations and costly spectrum. Has moved testing to Europe),,Channelisation not planned yet. Test assignment=150 MHz,PtP links,Various vendors have shown interest to use the band. Regulations to be put in place.
Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned,Application,Comment
71-76 GHz // 81-86 GHz,71-76 GHz // 81-86 GHz,"Yes, whole band available for assignment",Impala Platinum application & Neotel application (withdrawn due to cost),,not planned yet,PtP links,Various vendors have shown interest to use the band. Regulations to be put in place. (2x 5 GHz blocks)
Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned,Application,Comment
